|Velocity Prologue|Downtown Challenge|Mars Taxi|UGH!|2|59
|Postal 2|Country Justice|Redneck Rampage|Wanted Guns|1|65
Milyen emberek a gengszterek A Mesterlövész játékban?|Cowboyok|Oroszok|Bingójátékosok|Olasz maffiózók|2|69
A Mesterlövész játékban az ellenfelek ...|hibátlanul lõnek|keresztül tudnak menni az ajtókon|könnyen észrevesznek|gránátot is tudnak használni|1|0
"Vérzik a ...!"|Játékautomata|Helikopter|Busz|Stella|2|0
Mi történik Nico-val a Bullseye Kocsmából, ha megölöd|Eltûnik|Semmi sem történik|Meghal|Megõszül|3|70
Hogyan jutott át Freddy a Bullseye Kocsma kocsmaajtaján elõször?|Egyszerûen kinyitotta|Keresztülment rajta|Az ablakpárkányról átugrotta|Sehogyan sem|2|71
A Mesterlövészben az ugrás-guggolás gombbal ... lehet.|lõni|repülni|hasalni|célozni|1|0
"Amikor ott állok elõtte és csak a(z) ... célzok rá."|ujjammal|kezemmel|fegyveremmel|egeremmel|0|0
Mi történik ha Stellát megütöd A Mesterlövész játékban?|Meghalsz|Megnyered a játékot|Kiakad a játék|Meghal|0|72
A Mesterlövészben ha a dupla revolveres ellenfél elé állunk, akkor ...|leüt|nem csinál semmit|elkezd hátrálni|elkezd táncolni|3|0
Mi volt A Mesterlövész legkönyebb pályája?|Találj kiutat|>LnIn4 (Mélyebbre)|Elõszó|Harcmezõk|1|0
Freddy számításai szerint milyen magasra ugrik egyhelybõl Frédi?|2,70m|2,80m|2,90m|3,00m|1|5
Milyen játéknak nem nevezte el Freddy a Big Rigset?|Mountain Racing|Anti-Gravity Racing|Anti-Collision Racing|Out in nowhere Racing|2|6
"Nem mondod, mi ez ...?"|Sonic|Super Mario|Contra|Quake|1|10
Melyik a legerõsebb fegyver a játékban?|Gépfegyver|Puska|Aquafitness ököl|Rakétavetõ|2|10
Mi az értelme az ugrálós pályának Freddy szerint?|Semmi|Ugrálás gyakorlása|Fegyveres, egyéb ugrálások gyakorlása|Ellenfelek begyakorlása|0|75
Mit nem lehet csinálni a Metalban?|Ugrani|Mozogni|Lõni|Szabadon nézni|0|14
Melyik pályáig jutott el Freddy a játékban?|Garázs|Bevásárlóközpont|Város|Park|1|15
$|Túl nehézre sikerült|Rettenetesen húzza az ember idejét|Optimizálatlan|Kényelmetlen irányítás|1|16
Mit lehet találni az üres dobozban?|Semmit|Medkitet|Fegyvert|Lõszert|3|84
Mit talált az olajplatformos pálya végén Freddy?|Megkötözött túszokat|Stellát|Edward Norton túszokat|Will Smith túszokat|2|16
Mi a Mortyr 2093-1944 nevû játék legidegesítõbb tulajdonsága?|Sötétség|Kevés lõszer|Csalás|Túl nehéz|0|19
Kiként játszott a játékban Freddy?|Kamikazi Ken Kendo|Gumbo Jack|Nitro Nick McEwan|Carlos Roberto Fernandez|1|27
Milyen tecnológiát használ a Lula 3D?|Fejlett mozdulatok|Realisztikus szájszinkron|Ugráló csöcs|Fotorealisztikus|2|38
Hány ellenséggel kell megküzdeni 20mp alatt a játékban?|3|6|9|12|1|40
Melyik ellenfél látható a képen?|Narkós Harry Potter, szálkával a kezében|Techno Viking|Csontváz|Frankenstein|1|46
$|Jármûvezetés|Fegyverek|Irányítás|Kevés lõszer|0|65
"Mi?! Na ne idegesíts ez mi volt?! Értitek azért a parasztságnak van egy határa. Ott álltam csak, erre kiesik egy pók és megöl."|Akimbo (A kis kung-fu harcos)|Deathbringer|The Flintstones: Dino Lost in Bedrock|Home Alone 2|2|99
"Igazából ezek után befejezhetném az egész sorozatot. Ennél rosszab soha nem fogok tudni bemutatni."|A Mesterlövész|Lula 3D|Big Rigs: Over The Road Racing|Mortyr 2093-1944|2|99
"Kész, ennyi a verseny, egyszer nem fog elindulni az ellenfél."|Big Rigs: Over The Road Racing|Streets Racer|Power Surge|Downtown Challenge|0|99
"Szégyen! Ez egy szégyen az összes PC játékra!"|A Mesterlövész|Big Rigs: Over The Road Racing|Heat: Episode 1|Metal|1|99
"Így van, ez a cél, hogy hatalmas lebegõ csernobili mutáns répákat kell fölszedni."|Heat: Episode 1|Metal|Airbone Hero|Dark Vampires|0|99
"Mit szívott ez aki ezt kitalálta, könyörgöm?!"|Dark Vampires|Metal|Ringriker|Heat: Episode 1|3|99
"Hát de komolyan, úgy ránagyít, hogy szinte az orrszõrét megtudom vizsgálni."|A Mesterlövész|Mortyr 2093-1944|Marine Sharpshooter 3|Sniper - Art of Victory|1|99
"Hadd mutassam be hogy mûködik ez az igazolvány: Tehát itt vagyok a terem elõtt, befutok mindenki után lövöldözünk. De ebben a pillanatban elõkapom az igazolványomat, és mindenki barátságos lesz hozzám, ezért kitûzom a sapkámra, hogy jól lássák. De azonban ez az igazolvány csak fél percig olvasható kb, mert elkezd porladni. Onnantól kezdve érvényét veszíti."|Mortyr 2093-1944|Wolfschanze|Airbone Hero|Nina: Egy Ügynök Naplója|0|99
"Te most nem mondod hogy elkezdesz Game Boyozni?! - De hát olyan unalmas ez. - Na add csak ide! Hát milyen dolog ez, most legózni fogunk!"|Big Rigs: Over The Road Racing|Ringriker|Lego Island|Amerika Titkos Hadmûveletei|2|99
"Úristen fölugrottam a fejére! Hitler fején ugrálok!"|Mortyr 2093-1944|Wolfschanze|Airbone Hero|Stalin Subway 2|1|99
"Hmm... egy ilyennel mindig is akartam menni!"|Italian Job|Country Justice|Velocity Prologue|Marine Sharpshooter 3|1|93
Melyik játék volt az elsõ a Rossz PC Játékok Sorozat részében?|Big Rigs: Over The Road Racing|A Mesterlövész|Wanted Guns|The Flintstones: Dino Lost in Bedrock|1|99
Melyik játék volt az utolsó a Rossz PC Játékok Sorozat részében?|Stalin Subway 2|Sniper - Art of Victory|Country Justice|Miami Vice|2|99
Mikor kezdõdött a Rossz PC Játékok sorozat?|2007 április|2007 május|2007 június|2008 április|0|99
A Nyári Különkiadásban kivel szerepelt Freddy?|LaLee|Visor|Freddyné|BenyoBoy|0|97
Mi fog történni?|A Tank átmegy a fán|A fa megállítja a tankot|A játék kéri a Call of Duty CD-t|Kiakad a játék|1|79
"... ügynök paranormális képességgel bír."|Stella|Nina|Dominick|Lula|1|30
Hány mondatot mond Arnold Schwarzenegger a játékban?|1|2|5|10|1|34
"Mi? Mi ez? Élek? Persze hogy élek, mert ez egy kurva szar játék!"|Streets Racer|Power Surge|Downtown Challenge|Big Rigs: Over The Road Racing|3|99
"Az ég áldja már meg, te szerencsétlen vadbarom!"|Scooter Pro|Dark Vampires|Xtreme Boarders|Home Alone 2|0|99
"Ott a robbanás. Na, nem dõlt össze a ház, minden rendben van. Dick Assman teljesítette a feladatát. És most lemegy a legalsó szintre a lépcsõházon. Beül az autójába. Beül a fürdõkádba."|Airbone Hero|Wolfschanze|Amerika Titkos Hadmûveletei|Battlestrike - Gyõzelemre Fel|2|99
"Maffia Mania. Szájjál már be nemigaz!"|Italian Job|Driver: You Are The Wheelman|Streets Racer|Miami Vice|0|99
"Fúj! Anyám, hát így hogy vezessek?! - Bocsánat! - Na, töröld csak fel azzal ami ott van melletted! - De ez az Airbone Hero CD! - Igen tudom, hát most másra úgy sem jó."|Lego Island|Streets Racer|Big Rigs: Over The Road Racing|Downtown Challenge|0|99
|Quake|Heat: Episode 1|Cube|Unreal|1|10
|Quake|Doom|Unreal Tournament '99|Metal|3|14
|Driver: You Are The Wheelman|Italian Job|Street Rod|Test Drive|1|24
|Jungle Book|Risky Woods|Akimbo (A kis kung-fu harcos)|First Samurai|2|26
|Velocity Prologue|Downtown Challenge|Motorhead|Fatal Racing|0|44
|Traktor Racer|Big Rigs: Over The Road Racing|Trucker|Bus Driver|0|52
Mire emlékeztette Freddy-t az orbitális gumibot a Mesterlövészben?|Botra|Pengére|Lézerkardra|Kétélû lézerkardra|3|68
Kire emlékeztette Freddy-t Nico a Bullseye Kocsmában?|Mike Tyson-ra|Kimbo Slice-ra|Kimbo Kaballa-ra|Butterbean-re|3|70
$|Irányítás|Grafika|Hangok|Nehézségi szint|0|44
A Mesterlövész melyik pályáról csinált videót elõször ahol elakadt Freddy?|A Gyár|A Bullseye Kocsma|Vadászat a vadászra|Elõszó|0|0
Milyen furcsaságot lehet találni a A Mesterlövész játék Harcmezõk pályáján?|Egy játékautomatát|Cserepes növényeket|Szódaautomatát|Egy szökõkutat|0|0
"Megszólal, hogy ugorj le. Mi van? Ez a szarházi meg akar ölni engem. Na mindegy legalább akkor is vége a játéknak."|Country Justice|Wolfschanze|Heat: Episode 1|Metal|2|99
|Dark Vampires|Dark Apes|Chronicles of a Vampire|Antikiller|0|17
|Scooter Pro|X Scooter|Tony Hawk Pro Skater|Xtreme Boarders|3|18
|Street Rod|Street Rod 2 - The Next Generation|Downtown Challenge|Power Surge|3|27
|Wolfschanze|Frontline Berlin 1945|Mortyr 2093-1944|Return to Castle Wolfenstein|1|29
|Nina: Egy Ügynök Naplója|Mortyr 2093-1944|The Operative: No One Lives Forever|Alien Anarchy|0|30
|The Heat of War|Battlestrike - Gyõzelemre Fel|Battlestrike - Harc a Csodafegyverért|Marine Heavy Gunner - Vietnam|2|31
|Battlestrike - Gyõzelemre Fel|Battlestrike - Harc a Csodafegyverért|The Heat of War|Marine Heavy Gunner - Vietnam|3|32
|Max Payne|Alcatraz|DMZ - North Korea|Antikiller|3|41
|Alone in The Dark|Mortyr 2093-1944|Winthorp's Mansion|Chronicles of a Vampire|2|46
|Crime Patrol|Who Shot Johnny Rock?|Last Bounty Hunter|Virtua Cop 2|1|50
|Carmageddon|Power Surge|Downtown Challenge|Streets Racer|2|51
|Wanted Guns|Guerrilla War|Grand Theft Auto|Moonwalker|3|54
|Sniper - Art of Victory|Battlestrike - Gyõzelemre Fel|Marine Sharpshooter 3|Marine Heavy Gunner - Vietnam|2|58
|Alcatraz|The Heat of War|Project I.G.I.|DMZ - North Korea|3|60
|Soldier of Fortune|Stalin Subway 2|Tom Clancy's Rainbow Six|Project I.G.I.|1|61
|A Mesterlövész|Marine Sharpshooter 3|Sniper - Art of Victory|Tom Clancy's Ghost Recon|2|62
|Miami Vice|Grand Theft Auto Vice City|Scarface|Driv3r|0|63
Kire emlékeztette Freddy-t a rendõr a Village People tagjai közül?|Victor Wills (a rendõr)|Glenn Martin Hughes (a motoros)|Eric Anzalone (a motoros)|Miles Jaye (a rendõr)|1|67
A Mesterlövész Harcmezõk pályáján a fegyverraktár helyiségben mit talált Freddy?|Fegyvereket|Lõszert|Gumibotokat|Semmit|2|0
"Na és ki jön most? Na... ki lehet ez? Bizony ám ez a ronda nõ a ...!"|gyárból|kolostorból|utcáról|kocsmából|3|0
"És most jönnek ..."|a kommandósok|az olaszok|Charlie angyalai|a rendõrök|2|0
A Mesterlövész játékban Freddy ... a buszt az Álmos Üreg pályán.|felrobbantotta|megölte|megrongálta|elvezette|1|0
"...? Hát legalább van humoruk a készítõknek, mert tudták nagyon jól hova való ez a játék, márpedig ide:"|szemét|gépbe|kukába|szemét szemét|3|1
Hogyan kell célozni a Wanted Guns nevû játékban?|Automatikusan történik|Jobb egérgomb lenyomásával|Bal egérgomb lenyomásával|Rá kell fordulni a célpontra|1|1
Dick Assman hogyan mûködtette a puskákat?|Bal kézzel, jobb vállra támasztva|Bal kézzel, bal vállra támasztva|Jobb kézzel, bal vállra támasztva|Jobb kézzel, jobb vállra támasztva|0|13
Hány tankot és V2-es rakétabázist lõtt ki Dick Assman?|15 tank, 2 V2 rakéta|10 tank, 4 V2 rakéta|5 tank, 4 V2 rakéta|15 tank, 5 V2 rakéta|3|80
Mennyibe került a Metal nevû játék?|990|1500|2000|2200|2|14
Mit lopott el a kék nindzsa?|Harry Potter varázspálcáját|Stellát|A Szellemírtók fegyverét|A Lightning gun-t a Quake 3-ból|2|82
Mire használta az Afrika Sötét Titkai kézikönyvet Freddy?|A billegõ szék alá tette|Egéralátétnek|Légycsapónak|WC Papírnak|3|66
Mit nem kell Dick Assmannek tennie az Amerika Titkos Hadmûveletei nevû játékban?|Egyedül felvenni a harcot az egész terrorista csoport ellen|Kellõ mennyiségû lõszerrel felszerelkeznie|Lõszerrel takarékoskodnia|Sisak nélkül bevetésekre mennie|1|16
Dick Assman az utolsó küldetése után ...|még egyszer kockáztatnia kellett az életét|beült az autójába, beült a fürdõkádba|leesett a felhõkarcoló épület tetejérõl|eltûntnek lett nyilvánítva|0|16
"Komolyan ez az egész a legidegesítõbb ez a vámpírosdi. Mi köze ennek a vámpírokhoz? Ezzel az erõvel lehetne mittudomén Dark Permetezõ és vámpírok helyett ... ellen kell megküzdeni és rovarírtóval lefújni õket."|Gyümölcsök|Zöldségek|Rovarok|Pókok|1|17
Milyen gyorsan csapódott neki a falnak az emberünk?|30km/h|40km/h|50km/h|60km/h|1|85
Ha fekszik a földön, és nyomjuk az iránygombokat, akkor:|Pörög a földön|A világegyetemet mozgatja|Pörög a földön és a világegyetemet is mozgatja|Megtöri a mátrixot|2|18
Melyik játékban volt ez a "vendégszereplése" Freddy-nek?|A Mesterlövész|Nina: Egy Ügynök Naplója|Football Generation|Mortyr 2093-1944|3|86
Melyik játékra emlékeztette Freddy-t a tank csöve?|A Mesterlövész|Lula 3D|Wolfschanze|Airbone Hero|1|87
$|Pillanatragasztó van kenve az autókra|Irányíthatatlan|A mesterséges intelligencia|Rövid a játék|0|20
$|A mesterséges intelligencia|A grafika|Az irányítás|A nehézségi szint|3|21
$|Nincs lõszerutánpótlás|Nincs medkit|Teli van géppuskaállásos részekkel|Teli van grafikai hibákkal|2|32
Mire kell kattintani, hogy bejuss a rendõrségre a Lego Island játékban?|Az ajtóra|Az ablakra|A "Police" feliratra|A sorompóra|3|88
Mire kell kattintani, hogy bejuss a garázsba a Lego Island játékban?|A kis ablakra|Az ajtóra|A kék ablakokra|Az "Octan" feliratra|0|89
Mennyi idõ alatt hozta össze az Alien Anarchy borítóját Freddy?|1:58|1:59|2:00|3:00|1|35
$|Át lehet menni a jármûveken|Könnyen meg lehet halni|Használhatatlan a mesterlövész puska|Meg van határozva hogyan kell a pályákat végigjátszani|3|37
$|Nehéz|Sötét|Unalmas|Rövid|2|58
$|Sötétség|Kevés lõszer|Létrák|Lõfegyverek|3|62
$|Irányítás|Lõszer|Kameranézet|Nehézségi szint|2|63
"Most függõlegesen átugrom a tetején és... lepattanok az égrõl?!"|Akimbo (A kis kung-fu harcos)|The Flintstones: Dino Lost in Bedrock|Deathbringer|Home Alone 2|1|99
"Ó milyen kecsesen csinálja ezt... micsoda érzékelés van ebben a játékban."|Lula 3D|Deathbringer|A Mesterlövész|The Flintstones: Dino Lost in Bedrock|3|99
"Hard Boiled mi a szar ez?!"|Blood|Chronicles of a Vampire|Dark Apes|Dark Vampires|3|99
"Tudtam, tudtam! Ó de szeretlek!"|A Mesterlövész|Lula 3D|Mortyr 2093-1944|Airbone Hero|2|99
"... és mi a szarért öntötte le valaki mustárral a nadrágjukat?"|Wolfschanze|Mortyr 2093-1944|Heat: Episode 1|Metal|1|99
"Öreganyád térdekalácsa!"|Antikiller|Nina: Egy Ügynök Naplója|Streets Racer|Lula 3D|2|99
"Itt egy puska. Biztos vaktöltény van benne. Én már nem bízom ebben a rohadt játékban."|Marnie Sharpshooter 3|Airbone Hero|Sniper - Art of Victory|Nina: Egy Ügynök Naplója|3|99
"Aztán a játék egészen kiemelkedõ logikai rejtvényeket ígér."|Nina: Egy Ügynök Naplója|A Mesterlövész|Lula 3D|Winthorp's Mansion|0|99
"Sikoltoznak?! Útálom ha sikoltoznak! Tisztelt utasok akarnak okot sikoltozni?! Akarnak okot a kurva életbe?! Adok én maguknak okot a sikoltozásra!"|Trucker|Bus Driver|Big Rigs: Over The Road Racing|Italian Job|1|99
"Nem szabadna ilyen pixelesnek lennie egy játéknak 98-ban. Iszonyatos! Nem is tudom mi történik itt!"|Heat: Episode 1|Winthorp's Mansion|Airbone Hero|Alien Anarchy|3|99
"Ingyen lángos balra! - Ó lángos!"|Home Alone 2|Moonwalker|Miami Vice|Downtown Challenge|1|99
"Ez meg micsoda? Ez mi? Mickey Egér egy triciglin egy seggtrombitával? Vagy mi akar ez lenni?"|The Flintstones: Dino Lost in Bedrock|Akimbo (A kis kung-fu harcos)|Winthorp's Mansion|Moonwalker|3|99
"És miért haltam meg? Mert elüt a metró. És ez a metró ismerõs lehet a fõvárosiaknak. Bizony ez nagy égés, mert ezek még mindig itt közlekednek!"|Airbone Hero|Wolfschanze|Stalin Subway 2|Nina: Egy Ügynök Naplója|2|99
10 000 követõre melyik játék lett bemutatva?|Wrestlemania Arcade|The Flintstones: Dino Lost in Bedrock|Wanted Guns|Streets Racer|0|98
20 000 követõre melyik játék lett bemutatva?|Scooter Pro|Wrestlemania Arcade|Wanted Guns|Streets Racer|2|98
30 000 követõre melyik játék lett bemutatva?|Nina: Egy Ügynök Naplója|The Flintstones: Dino Lost in Bedrock|Deathbringer|Wanted Guns|1|98
40 000 követõre melyik játék lett bemutatva?|Scooter Pro|Winthorp's Mansion|Ringriker|Streets Racer|3|98
50 000 követõre melyik játék lett bemutatva?|Chronicles of a Vampire|Scooter Pro|Antikiller|War Train|1|98
60 000 követõre melyik játék lett bemutatva?|Flash Játékok|Scooter Pro|Chronicles of a Vampire|6 játék|0|98
70 000 követõre melyik játék lett bemutatva?|Akimbo (A kis kung-fu harcos)|Ringriker|7 játék|8 játék|2|98
80 000 követõre melyik játék lett bemutatva?|7 játék|8 játék|Deathbringer|Home Alone 2|1|98
90 000 követõre melyik játék lett bemutatva?|Winthorp's Mansion|Nina: Egy Ügynök Naplója|War Train|Angry Video Game Nerd Játékok|3|98
100 000 követõre melyik játék lett bemutatva?|Egy utolsó Rossz PC Játékok Sorozat visszatérést ígért|Angry Video Game Nerd Játékok|Antikiller|Winthorp's Mansion|0|98
|Marine Heavy Gunner - Vietnam|Battlestrike - Gyõzelemre Fel|Battlestrike - Harc a Csodafegyverért|The Heat of War|1|37
|Sensible World of Soccer|Football Generation|Beach Soccer|Brutal Sports Football|2|45
Ki adta oda Freddy-nek a Scooter Pro-t?|BenyoBoy|Visor|MegaBrutal|LaLee|0|15
Hány darab fájl található a Dark Vampires CD-jén?|1|2|5|10|0|17
Az America's 10 Most Wanted játékban ki az elsõ célpont?|Cassey Webber|Jamal Richardson|Osama bin Laden|AJ McCallister|1|25
Mennyi pontot kell elérni a 2. Front felnyitásához?|500|1000|2000|3000|2|29
Miben hasonlít a játék a Mortyr-hoz?|Sötétség|Kevés lõszer|Csalás|Túl nehéz|0|30
Mit nem sikerült vezetnie Freddy-nek a játékban?|A helikoptert|A hajót|A jetskit|A versenyautót|2|33
Milyen nyelven van meg Freddy-nek a Bus Driver?|Magyar|Angol|Francia|Német|3|47
Mi a szuperfegyver a játékban?|Kés|Gumibot|Láb|Pisztoly|2|48
Hogyan kell megállítani a "piszkos bombás" hajót a játékban?|Véletlenszerû lövést kell leadni a hajóra|Ki kell lõni a sofõrt|Fel kell ugrani a hajóra|Nem kell csinálni semmit|0|91
Minden küldetés elõtt ... keresztül kapjuk meg az információt.|laptopon|rádión|levélben|TV-n|0|60
|Sensible World of Soccer|Football Generation|Beach Soccer|Brutal Sports Football|1|21
|Dark Vampires|Dark Apes|Chronicles of a Vampire|Winthorp's Mansion|1|64
Mire használta Freddy az Akimbo CD tokját?|Kitámasztotta vele az ajtót|Leütött vele egy legyet|A billegõ szék alá tette|Könyvjelzõnek|2|26
Az Antikiller elsõ pályáján ki volt a túsz?|Prosti|Ex Felesége|Apja|Rendõr|3|41
|Ski Free|Deathbringer|The Sims|Ski Park Manager|3|2
|Crazy Cars|Barbie Super Model|Cisco Heat|Micro Machines|1|3
|3D World Boxing|4D Sports Boxing|Heavyweight Thunder|Arcade Boxing|0|4
|Grand Theft Auto|Terminator 2: Judgment Day|Home Alone|Home Alone 2|3|7
|Custer's Revenge|Lula 3D|Outlaws|Wanted Guns|0|9
|Barbarian|First Samurai|Golden Axe|Deathbringer|3|11
|Metal|Heat: Episode 1|Eight Legged Freaks|A Mesterlövész|2|12
|Indiana Jones and the Fate of Atlantis|Indiana Jones and the Last Crusade|Afrika Sötét Titkai|The Secret of Monkey Island|2|66
|Summer Challenge|Pitfall!|Rick Dangerous|Aztec Challenge|3|23
|3D World Boxing|4D Sports Boxing|Heavyweight Thunder|Arcade Boxing|2|28
|Tom Clancy's Rainbow Six|Tom Clancy's Ghost Recon|TekWar|Alien Anarchy|3|35
|True Crime: Streets of LA|24: The Game|Driv3r|True Crime: New York City|1|36
|Streets Racer|Downtown Challenge|Bug Mania|Velocity Prologue|2|42
|Big Rigs: Over The Road Racing|Trucker|Traktor Racer|Streets Racer|1|43
|Skunky: Save Our Pizzas|Bug Mania|Red Baron|Pizza Commander|3|90
|Dark Vampires|Dark Apes|Chronicles of a Vampire|Winthorp's Mansion|2|53
|3D World Boxing|4D Sports Boxing|Heavyweight Thunder|Arcade Boxing|3|55
Mi volt A Mesterlövész játék elõzõ neve?|Mortyr 2093-1944|Sniper: Path of Vengeance|Rathunt|Hitman: Codename 47|2|73
"..., kiválasztás, beillesztés"|Bal klikk|Bal egérgomb|Jobb klikk|Jobb egérgomb|2|2
"Ski Park Manager orvos: ..."|rögtön segítek|te nem tetszel nekem|mingyárt ottvagyok|sietek ahogy tudok|1|2
"Ez tényleg nem rossz grafika ...-höz képest."|1985|1992|1995|2002|1|4
$|Irányítás|Grafika|Hangok|Zene|0|4
Hány iránygomb van a játékban Freddy szerint?|4|2|1|3|2|4
@|1988|1989|1990|1991|3|5
Milyen színkészletet használ a játék? (Hercules - 2 szín, CGA - 4 szín, EGA/Tandy - 16 szín, VGA - 256 szín)|Hercules|CGA|EGA/Tandy|VGA|2|5
Melyik pálya nem mûködik a Big Rigsben?|Devil Passage|Nightride|Forgotten Road 1|Small Town Road|1|6
"Ezaz Kevin, integess csak vigyorogva! El is hiszem hogy így néz ki egy ... éves gyerek, aki az üldözõi elõl kilométereken át fut."|8|9|10|11|2|74
A Red Baron-ban mennyi ideig tartott az elsõ küldetés?|5mp|15mp|30mp|60mp|1|8
Melyik filmre hivatkozott Freddy, miután kifejezte nemtetszését az automata fel/leszállásról?|A szupercsapat|Top Gun|Kommandó|Éjszakai rohanás|0|8
Mi a Heat: Episode 1 játék eredeti neve?|Metal|Quake|Doom|Cube|3|10
Mi az értelme az ugrálós pályának?|Semmi|Ugrálás gyakorlása|Fegyveres, egyéb ugrálások gyakorlása|Ellenfelek begyakorlása|2|75
@|1997|1999|2006|2008|2|10
@|1988|1991|1992|1993|1|11
Mi történik a játékossal, ha a vércsík elfogy a kardról Freddy szerint?|Semmi sem történik|Elszabadul a kardja|Lefagy a játék|Elborul az agya|3|11
Hanyadik próbálkozásra sikerült túljutnia Freddy-nek az óriásokon?|77.|78.|79.|80.|0|76
Melyik pályán nem járt Freddy?|Havas|Erdõs|Barlangos|Lávás|2|11
Hány pályás az Eight Legged Freaks?|1|2|3|4|1|12
Melyik plakáton lévõ személy homlokába lõ nyilat Freddy?|Martin Lawrence|Will Smith|Michael Winslow|Eddie Murphy|3|12
"Azt írja, hogy már nincs több nyílvesszõm, és nem enged tüzelni, ez egy ...!"|Hazugság|Átverés|Megtévesztés|Programhiba|0|12
Hány pókot kell minimum lelõni a játékban?|1|4|7|10|2|12
Hogyan kell kiiktatni az õrtoronyban lévõ embert?|Egyszerûen le kell lõni|Be kell dobni egy gránátot a toronyba|A torony alá kell dobni egy gránátot|Ki kell lõni a reflektort|2|78
Hány kitüntetést szerzett Dick Assman?|12|27|32|40|1|81
Mennyi pálya van a Metalban?|4|6|8|10|1|14
Melyik fegyvert nem mutatta be Freddy a Metalban?|A gépfegyvert|A plazmafegyvert|A rakétavetõt|A Szellemírtók fegyverét|3|14
Mennyi ölés szükséges legfeljebb a Metalban egy pálya teljesítéséhez?|30|50|100|1000|0|14
Mennyi ölés szükséges a Metalban az elsõ pálya teljesítéséhez?|5|10|100|1000|1|14
Mi van a játékban a legszebben "megrajzolva"?|Tank|Rakétavetõ|Tûzlétra|Rally autó|3|14
Mennyi idõ alatt lehet végigjátszani a Metalt a SPACE gombbal?|60mp|70mp|80mp|90mp|1|14
Mire emlékeztette Freddy-t ez a mozdulatsor?|A Mortal Kombat-ra|A karate kölyökre|A First Samurai játékra|Street Fighter-re|1|83
Melyik ismertebb játék motorjára épül a Scooter Pro?|Quake 3|Unreal Tournament '99|Grand Theft Auto Vice City|Duke Nukem 3D|2|15
Hány féle pálya van az Amerika Titkos Hadmûveleteiben?|5|6|7|8|0|16
Hány féle elsõdleges fegyver van az Amerika Titkos Hadmûveleteiben?|1|3|5|7|2|16
~|X Scooter|Scooter Pro|Tony Hawk Pro Skater|Precision Skateboarding|3|18
@|1998|1999|2000|2001|1|19
~|Street Rod|Trabi Racer|Maluch Racer|Traktor Racer|2|20
@|2005|2006|2007|2008|2|22
Mennyi ideig vagy védtelen a mesterlövész puska újratöltésekor a Heat of War nevû játékban?|4mp|8mp|10mp|12mp|1|22
@|1999|2000|2001|2002|3|24
Melyik két gombbal lehet legyõzni akármelyik ellenfelet a játékban?|8,6|4,2|6,4|6,7|0|25
Melyik játékot ajánlotta a Power Surge helyett Freddy?|Driver: You Are The Wheelman|Crazy Cars|OutRun|Street Rod|3|27
~|Anarchy|Alien|Aliens VS Predator|X-Com: UFO Defense|0|35
Melyik játékot ajánlotta a Pet Racer helyett Freddy?|Wacky Wheels|Wacky Races|Street Rod|Lego Racers|0|39
Milyen másik játékot készítettek a War Train készítõi?|Dark Vampires|Airbone Hero|Lula 3D|A Mesterlövész|1|40
Mennyiért vette Freddy az Antikiller nevû játékot?|699|799|899|999|0|41
Hol játszódik a Velocity Prologue?|Bécs|Bukarest|Budapest|Berlin|2|44
